1,1,817.47,254.28,132.23,129.42, 0.99895
1,2,650.47,585.90,108.51,135.27, 0.99791
1,3,682.50,435.65,110.76,138.20, 0.99756
1,4,959.73,265.45,76.08,100.75, 0.99659
1,5,526.51,509.15,118.14,146.13, 0.99530
1,6,97.13,321.78,133.28,113.30, 0.99489
1,7,549.96,328.20,107.04,131.26, 0.99486
1,8,383.50,346.13,114.13,135.41, 0.99457
1,9,233.87,291.48,118.24,98.46, 0.99291
1,10,826.17,394.80,126.08,127.82, 0.99166
1,11,205.07,384.93,164.66,100.06, 0.96797
2,1,816.96,254.11,132.88,130.05, 0.99887
2,2,650.35,585.80,108.69,135.50, 0.99792
2,3,682.18,435.29,111.02,138.55, 0.99778
2,4,959.81,265.67,75.93,100.54, 0.99669
2,5,526.68,508.97,118.03,145.99, 0.99517
2,6,97.58,322.02,131.42,111.70, 0.99495
2,7,550.01,328.37,107.01,131.22, 0.99490
2,8,383.49,346.11,114.10,135.38, 0.99457
2,9,234.59,292.43,116.92,97.34, 0.99324
2,10,826.85,395.10,124.97,126.67, 0.99228
2,11,208.43,377.16,162.17,98.80, 0.96685
3,1,817.24,254.40,132.64,129.82, 0.99884
3,2,651.11,590.87,109.30,136.34, 0.99805
3,3,681.89,435.02,111.38,139.02, 0.99772
3,4,959.91,265.65,75.92,100.52, 0.99655
3,5,526.86,509.10,117.59,145.43, 0.99527
3,6,98.35,321.55,129.93,110.37, 0.99486
3,7,550.09,328.50,106.85,131.03, 0.99511
3,8,383.49,346.08,113.99,135.24, 0.99466
3,9,234.73,292.94,116.48,96.93, 0.99295
3,10,827.51,395.16,124.24,125.84, 0.99276
3,11,209.99,376.55,160.32,98.02, 0.96888
4,1,817.34,254.37,132.68,129.86, 0.99889
4,2,651.30,592.30,109.64,136.86, 0.99796
4,3,681.72,434.88,111.51,139.21, 0.99769
4,4,959.95,265.54,75.95,100.56, 0.99652
4,5,527.01,509.21,117.27,145.00, 0.99523
4,6,98.29,320.99,129.94,110.31, 0.99488
4,7,550.30,328.64,106.57,130.68, 0.99478
4,8,383.53,346.18,113.91,135.13, 0.99443
4,9,234.99,293.20,116.67,97.09, 0.99163
